Listening to port 4567
Connected!!!
First sample received.
Radar NIS = 74.2445
Laser NIS = 0.220192
Radar NIS = 1.82606
Laser NIS = 0.16587
Radar NIS = 7.33569
Laser NIS = 0.249493
Radar NIS = 5.67577
Laser NIS = 0.0050036
Radar NIS = 0.246498
Laser NIS = 1.12608
Radar NIS = 1.35196
Laser NIS = 2.20205
Radar NIS = 4.07583
Laser NIS = 0.326826
Radar NIS = 1.74135
Laser NIS = 11.886
Radar NIS = 1.22573
Laser NIS = 2.87769
Radar NIS = 1.91802
Laser NIS = 1.75205
Radar NIS = 3.43843
Laser NIS = 3.58984
Radar NIS = 0.286939
Laser NIS = 0.240634
Radar NIS = 2.17798
Laser NIS = 2.41182
Radar NIS = 5.29062
Laser NIS = 0.61171
Radar NIS = 2.14077
Laser NIS = 0.278828
Radar NIS = 6.5929
Laser NIS = 0.446837
Radar NIS = 6.80843
Laser NIS = 0.675308
Radar NIS = 4.06322
Laser NIS = 2.05077
Radar NIS = 3.98759
Laser NIS = 1.03349
Radar NIS = 2.67306
Laser NIS = 2.43565
Radar NIS = 2.81541
Laser NIS = 2.60891
Radar NIS = 0.737342
Laser NIS = 0.310856
Radar NIS = 1.48106
Laser NIS = 0.753364
Radar NIS = 0.761157
Laser NIS = 3.26787
Radar NIS = 2.85226
Laser NIS = 2.25221
Radar NIS = 10.0761
Laser NIS = 1.0886
Radar NIS = 0.0934287
Laser NIS = 0.307598
Radar NIS = 1.70094
Laser NIS = 2.61314
Radar NIS = 3.37503
Laser NIS = 0.62762
Radar NIS = 2.29105
Laser NIS = 0.247229
Radar NIS = 1.25616
Laser NIS = 0.465283
Radar NIS = 1.50314
Laser NIS = 0.16569
Radar NIS = 0.787822
Laser NIS = 0.517246
Radar NIS = 3.14556
Laser NIS = 0.226388
Radar NIS = 1.78297
Laser NIS = 0.236181
Radar NIS = 2.99917
Laser NIS = 1.91684
Radar NIS = 0.526898
Laser NIS = 0.974941
Radar NIS = 0.879586
Laser NIS = 0.575743
Radar NIS = 0.198431
Laser NIS = 1.80093
Radar NIS = 0.762992
Laser NIS = 3.42231
Radar NIS = 3.97799
Laser NIS = 1.83277
Radar NIS = 0.3263
Laser NIS = 1.24491
Radar NIS = 2.18123
Laser NIS = 3.07892
Radar NIS = 0.472136
Laser NIS = 3.77198
Radar NIS = 1.08493
Laser NIS = 3.36724
Radar NIS = 2.10147
Laser NIS = 1.09035
Radar NIS = 7.61558
Laser NIS = 0.991213
Radar NIS = 2.14568
Laser NIS = 2.1263
Radar NIS = 4.98215
Laser NIS = 0.078351
Radar NIS = 8.39611
Laser NIS = 5.73034
Radar NIS = 4.66616
Laser NIS = 0.793972
Radar NIS = 2.54786
Laser NIS = 2.3386
Radar NIS = 2.19122
Laser NIS = 0.966841
Radar NIS = 1.34381
Laser NIS = 1.43614
Radar NIS = 0.786241
Laser NIS = 0.362961
Radar NIS = 1.32917
Laser NIS = 0.960055
Radar NIS = 3.3296
Laser NIS = 2.29881
Radar NIS = 7.03142
Laser NIS = 3.57908
Radar NIS = 1.57591
Laser NIS = 0.105031
Radar NIS = 2.01809
Laser NIS = 0.419026
Radar NIS = 0.237285
Laser NIS = 0.367621
Radar NIS = 5.93795
Laser NIS = 2.15568
Radar NIS = 6.23408
Laser NIS = 3.8345
Radar NIS = 1.18275
Laser NIS = 0.869837
Radar NIS = 3.12129
Laser NIS = 0.969509
Radar NIS = 6.29826
Laser NIS = 0.647232
Radar NIS = 1.96215
Laser NIS = 0.214246
Radar NIS = 2.94741
Laser NIS = 2.85579
Radar NIS = 3.24646
Laser NIS = 0.859542
Radar NIS = 9.95554
Laser NIS = 0.758398
Radar NIS = 3.3193
Laser NIS = 1.1438
Radar NIS = 5.39514
Laser NIS = 1.83238
Radar NIS = 2.41846
Laser NIS = 0.555119
